"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This testcase tests adding branching rules in single select resource parameter mapped to cjf to show the hidden parameters","14918","Test to add branching rule in single select resource parameter mapped to cjf","tests.scenarios","Fri Dec 13 19:15:14 IST 2024","passed","Fri Dec 13 19:15:29 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase verifies that user can configure set property task action with trigger set at start of task and parameterise it using date time parameter","13198","Verify that user can configure set property task action with trigger set at start of task and parameterise it using date time parameter","tests.scenarios","Fri Dec 13 19:58:37 IST 2024","passed","Fri Dec 13 19:58:51 IST 2024","TestTaskActions","test_task_actions","",""
"This test case validates if user can add task executor lock in the revise prototype and published it","13577","Test to validate if user can add task executor lock in the revise prototype and published it","tests.scenarios","Fri Dec 13 20:04:41 IST 2024","passed","Fri Dec 13 20:04:54 IST 2024","TestTaskExecutorLock","test_task_executor_lock","",""
"This test is to verify if the configured action on start should not be triggered on start if the prerequisite is not completed","15841","Test to Verify Configured action on Start should not be triggered on start if the prerequisite task is not completed","tests.scenarios.job","Fri Dec 13 20:25:55 IST 2024","passed","Fri Dec 13 20:26:11 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This testcase tests if the values for linked parameter is getting correctly populated after executing the resource parameter","20055","Test to verify that the Linked parameter values get correctly populated during job execution","tests.scenarios.job","Fri Dec 13 21:04:49 IST 2024","passed","Fri Dec 13 21:05:09 IST 2024","TestJobExecution","test_job_execution","",""
"This test case tests completing the task with exception","11207","Test to verify that user can complete the task with exception","tests.scenarios.job","Fri Dec 13 20:55:26 IST 2024","passed","Fri Dec 13 20:55:37 IST 2024","TestJobExecution","test_job_execution","",""
"This test case tests validating error when user tries to complete task after executing some of the parameters","21750","Test to validate error when user tries to complete the task with executing some of the parameters","tests.scenarios.job","Fri Dec 13 21:04:27 IST 2024","passed","Fri Dec 13 21:04:49 IST 2024","TestJobExecution","test_job_execution","",""
"This testcase tests if branching rules added on single select resource parameter mapped to cjf to show the parameters works as expected during execution","20075","Test to verify that branching rules added to single select resource parameter mapped to cjf to show parameters works as expected","tests.scenarios.job","Fri Dec 13 20:08:46 IST 2024","passed","Fri Dec 13 20:09:06 IST 2024","TestBranchingRuleExecution","test_branching_rule_execution","",""
"This testcase verifies that set property task action is triggered at completion of task during job execution with parameterized single select dropdown with load options","18567","Test to verify that set property task action is triggered at completion of task during job execution with parameterized single select dropdown with load options","tests.scenarios.job","Fri Dec 13 21:59:48 IST 2024","passed","Fri Dec 13 22:00:07 IST 2024","TestSingleSelectDropdownOptions","test_single_select_dropdown_load_option_execution","",""
"This test case is to verify that user can update the color code of the prototype and publish it","6557","Test to verify that user can update the color code of the prototype and publish it","tests.scenarios","Fri Dec 13 18:30:58 IST 2024","passed","Fri Dec 13 18:31:04 IST 2024","TestColorCode","test_color_code","",""
